food,unit,qty
chapati bhaji,numbers,"0.5,1,1.5,2,2.5,3,3.5,4"
pohe,plate,"0.5, 1,1.5,2,2.5,3,3.5,4"
misal pav,plate,"0.5,1,1.5,2,2.5,3,3.5,4"
upit,plate,"0.5,1,1.5,2,2.5,3,3.5,4"
bread,numbers,"0.5,1,1.5,2,2.5,3,3.5,4"
biscuit,numbers,"1,2,3,4,5,6,7"
idali,numbers,"1,2,3,4,5,6,7"
dosa,numbers,"1,2,3,4,5,6,7"
vada pav,numbers,"1,2,3,4,5,6,7"
appe,numbers,"1,2,3,4,5,6,7"
sandwich,numbers,"0.5,1,1.5,2,2.5,3,3.5,4"
udid vada,numbers,"1,2,3,4,5,6,7"
kanda bhaji,numbers,"1,2,3,4,5,6,7"
egg omlet,numbers,"0.5,1,1.5,2,2.5,3,3.5,4"
boiled egg,numbers,"1,2,3,4,5,6,7"
